iter	Passed	Remaining
0	146	146042
1	147	73398
2	149	49530
3	151	37630
4	152	30258
5	152	25325
6	155	22082
7	157	19562
8	159	17608
9	160	15933
10	162	14572
11	162	13419
12	163	12433
13	164	11582
14	165	10841
15	165	10198
16	166	9651
17	167	9160
18	168	8713
19	169	8306
20	170	7931
21	170	7590
22	171	7281
23	172	7001
24	172	6736
25	173	6493
26	173	6266
27	174	6060
28	175	5873
29	176	5701
30	177	5537
31	177	5383
32	178	5236
33	179	5102
34	180	4970
35	180	4844
36	181	4728
37	182	4617
38	182	4508
39	183	4408
40	184	4310
41	184	4218
42	185	4128
43	186	4043
44	186	3962
45	187	3887
46	188	3814
47	188	3743
48	189	3673
49	190	3611
50	190	3550
51	191	3493
52	192	3438
53	193	3386
54	193	3331
55	194	3278
56	195	3226
57	195	3176
58	196	3127
59	196	3080
60	197	3036
61	198	2995
62	198	2953
63	199	2913
64	199	2873
65	200	2834
66	200	2796
67	201	2760
68	202	2738
69	203	2705
70	204	2676
71	205	2645
72	205	2615
73	206	2583
74	207	2553
75	207	2522
76	208	2494
77	208	2469
78	209	2442
79	210	2415
80	210	2388
81	211	2363
82	211	2340
83	212	2317
84	213	2297
85	214	2277
86	214	2254
87	215	2233
88	216	2213
89	217	2194
90	217	2175
91	218	2156
92	219	2139
93	220	2120
94	220	2103
95	221	2085
96	221	2066
97	222	2047
98	223	2029
99	223	2012
100	224	1995
101	224	1979
102	225	1964
103	226	1948
104	226	1932
105	227	1917
106	227	1901
107	228	1886
108	229	1872
109	229	1860
110	230	1848
111	231	1835
112	232	1822
113	232	1808
114	233	1794
115	233	1781
116	234	1768
117	235	1758
118	236	1747
119	236	1735
120	237	1723
121	237	1710
122	238	1698
123	238	1686
124	239	1674
125	239	1664
126	240	1653
127	241	1644
128	242	1634
129	242	1624
130	243	1615
131	244	1606
132	244	1596
133	245	1586
134	246	1577
135	246	1567
136	247	1557
137	247	1547
138	248	1538
139	248	1528
140	249	1519
141	250	1510
142	250	1501
143	251	1493
144	251	1485
145	252	1477
146	253	1469
147	253	1461
148	254	1454
149	255	1447
150	256	1440
151	257	1433
152	257	1427
153	258	1419
154	258	1410
155	259	1402
156	259	1394
157	260	1387
158	261	1380
159	261	1373
160	262	1366
161	262	1359
162	263	1352
163	264	1345
164	264	1338
165	265	1331
166	265	1324
167	266	1318
168	266	1312
169	267	1307
170	268	1302
171	269	1296
172	270	1290
173	270	1284
174	271	1279
175	272	1273
176	272	1267
177	273	1263
178	274	1257
179	274	1252
180	275	1247
181	276	1241
182	276	1235
183	277	1230
184	277	1224
185	278	1219
186	279	1213
187	279	1208
188	280	1203
189	281	1199
190	282	1194
191	282	1189
192	283	1185
193	284	1181
194	284	1176
195	285	1171
196	286	1165
197	286	1160
198	287	1155
199	287	1150
200	288	1146
201	289	1141
202	289	1137
203	290	1132
204	290	1127
205	291	1122
206	291	1118
207	292	1114
208	293	1109
209	293	1105
210	294	1102
211	295	1098
212	296	1095
213	297	1092
214	297	1087
215	298	1083
216	299	1080
217	299	1076
218	300	1071
219	301	1067
220	301	1063
221	302	1059
222	302	1054
223	303	1050
224	303	1046
225	304	1043
226	305	1039
227	306	1036
228	306	1032
229	307	1029
230	308	1025
231	308	1021
232	309	1018
233	309	1014
234	310	1010
235	311	1007
236	311	1003
237	312	999
238	312	995
239	313	991
240	313	988
241	314	984
242	315	981
243	315	978
244	316	974
245	316	970
246	317	967
247	318	964
248	318	961
249	319	959
250	320	956
251	321	953
252	321	950
253	322	946
254	322	943
255	323	940
256	323	936
257	324	933
258	325	930
259	325	927
260	326	924
261	327	921
262	327	918
263	328	914
264	328	911
265	329	908
266	329	905
267	330	902
